FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E07000215,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.04,g. Barriers to Housing and Services Domain
E07000007,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0093,"d. Education, Skills and Training Domain"
E07000012,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000011,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0571,"d. Education, Skills and Training Domain"
E07000006,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000209,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0595,"d. Education, Skills and Training Domain"
E07000216,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0122,"d. Education, Skills and Training Domain"
E07000008,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.029,"d. Education, Skills and Training Domain"
E07000215,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E08000024,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1838,"d. Education, Skills and Training Domain"
E08000019,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2667,"d. Education, Skills and Training Domain"
E08000018,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2395,"d. Education, Skills and Training Domain"
E08000005,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1791,"d. Education, Skills and Training Domain"
E08000025,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2128,"d. Education, Skills and Training Domain"
E07000010,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2182,"d. Education, Skills and Training Domain"
E08000026,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1333,"d. Education, Skills and Training Domain"
E08000030,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2754,"d. Education, Skills and Training Domain"
E07000030,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000067,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0575,"d. Education, Skills and Training Domain"
E07000026,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1333,"d. Education, Skills and Training Domain"
E07000028,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2206,"d. Education, Skills and Training Domain"
E07000066,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2818,"d. Education, Skills and Training Domain"
E07000068,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0217,"d. Education, Skills and Training Domain"
E07000243,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000064,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.069,"d. Education, Skills and Training Domain"
E07000235,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0444,"d. Education, Skills and Training Domain"
E09000033,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3594,g. Barriers to Housing and Services Domain
E07000027,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2041,"d. Education, Skills and Training Domain"
E09000032,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1061,g. Barriers to Housing and Services Domain
E07000029,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1633,"d. Education, Skills and Training Domain"
E07000009,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.02,"d. Education, Skills and Training Domain"
E07000237,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1587,"d. Education, Skills and Training Domain"
E07000239,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1077,"d. Education, Skills and Training Domain"
E07000207,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000212,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0192,"d. Education, Skills and Training Domain"
E07000210,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0185,"d. Education, Skills and Training Domain"
E07000211,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0349,"d. Education, Skills and Training Domain"
E07000228,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0233,"d. Education, Skills and Training Domain"
E07000227,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000208,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000229,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0462,"d. Education, Skills and Training Domain"
E07000234,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000236,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1818,"d. Education, Skills and Training Domain"
E09000002,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4455,g. Barriers to Housing and Services Domain
E07000005,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000004,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0522,"d. Education, Skills and Training Domain"
E07000006,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E07000242,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0119,"d. Education, Skills and Training Domain"
E06000046,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E06000040,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000025,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0122,e. Health Deprivation and Disability Domain
E09000022,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0337,e. Health Deprivation and Disability Domain
E06000044,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.112,e. Health Deprivation and Disability Domain
E06000042,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0395,e. Health Deprivation and Disability Domain
E06000045,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1486,e. Health Deprivation and Disability Domain
E09000008,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0136,e. Health Deprivation and Disability Domain
E09000011,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000012,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0764,e. Health Deprivation and Disability Domain
E09000010,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000016,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000019,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0488,e. Health Deprivation and Disability Domain
E09000023,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0118,e. Health Deprivation and Disability Domain
E09000024,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000018,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000029,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0165,e. Health Deprivation and Disability Domain
E07000154,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.188,"d. Education, Skills and Training Domain"
E09000020,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0097,e. Health Deprivation and Disability Domain
E09000030,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0694,e. Health Deprivation and Disability Domain
E06000020,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1944,"d. Education, Skills and Training Domain"
E06000019,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0517,"d. Education, Skills and Training Domain"
E07000153,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1053,"d. Education, Skills and Training Domain"
E06000021,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3333,"d. Education, Skills and Training Domain"
E06000039,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E06000041,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000014,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0069,e. Health Deprivation and Disability Domain
E09000015,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000021,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E09000032,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0056,e. Health Deprivation and Disability Domain
E06000043,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1394,e. Health Deprivation and Disability Domain
E09000031,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E08000010,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.065,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000019,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.171,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000012,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4463,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000011,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4592,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000044,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000047,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000018,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0838,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000048,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000067,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000017,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0412,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000070,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000074,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000004,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2057,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000003,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.5,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000016,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0272,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000015,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1602,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000043,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0172,j. Income Deprivation Affecting Older People Index (IDAOPI)
E06000018,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3407,"d. Education, Skills and Training Domain"
E06000017,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,"d. Education, Skills and Training Domain"
E06000025,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0242,"d. Education, Skills and Training Domain"
E09000013,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0354,e. Health Deprivation and Disability Domain
E09000017,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,e. Health Deprivation and Disability Domain
E06000026,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.087,"d. Education, Skills and Training Domain"
E09000009,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0051,e. Health Deprivation and Disability Domain
E07000046,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000010,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.15,"d. Education, Skills and Training Domain"
E07000045,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E07000079,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000003,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1915,"d. Education, Skills and Training Domain"
E06000016,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3177,"d. Education, Skills and Training Domain"
E08000001,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1243,"d. Education, Skills and Training Domain"
E07000115,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0417,g. Barriers to Housing and Services Domain
E07000129,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000130,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0101,g. Barriers to Housing and Services Domain
E07000132,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0758,g. Barriers to Housing and Services Domain
E07000127,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0548,g. Barriers to Housing and Services Domain
E07000131,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1277,g. Barriers to Housing and Services Domain
E07000123,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0116,g. Barriers to Housing and Services Domain
E07000125,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000092,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000088,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0189,g. Barriers to Housing and Services Domain
E07000126,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0143,g. Barriers to Housing and Services Domain
E07000095,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0357,g. Barriers to Housing and Services Domain
E07000090,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0256,g. Barriers to Housing and Services Domain
E07000128,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000091,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0614,g. Barriers to Housing and Services Domain
E07000089,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0351,g. Barriers to Housing and Services Domain
E07000028,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0882,g. Barriers to Housing and Services Domain
E07000169,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.06,"d. Education, Skills and Training Domain"
E07000168,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1127,"d. Education, Skills and Training Domain"
E07000164,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0577,"d. Education, Skills and Training Domain"
E07000010,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1273,g. Barriers to Housing and Services Domain
E07000009,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2,g. Barriers to Housing and Services Domain
E07000031,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1525,g. Barriers to Housing and Services Domain
E07000032,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0128,g. Barriers to Housing and Services Domain
E07000027,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000029,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1224,g. Barriers to Housing and Services Domain
E07000124,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.125,g. Barriers to Housing and Services Domain
E07000026,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1333,g. Barriers to Housing and Services Domain
E07000033,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E08000032,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3258,"d. Education, Skills and Training Domain"
E07000034,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000030,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3056,g. Barriers to Housing and Services Domain
E06000009,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2447,"d. Education, Skills and Training Domain"
E06000003,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1818,"d. Education, Skills and Training Domain"
E06000008,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2967,"d. Education, Skills and Training Domain"
E06000024,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0444,"d. Education, Skills and Training Domain"
E06000002,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4419,"d. Education, Skills and Training Domain"
E06000004,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.175,"d. Education, Skills and Training Domain"
E07000166,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0588,"d. Education, Skills and Training Domain"
E07000171,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1857,"d. Education, Skills and Training Domain"
E06000014,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0417,"d. Education, Skills and Training Domain"
E06000005,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1385,"d. Education, Skills and Training Domain"
E06000006,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1519,"d. Education, Skills and Training Domain"
E06000010,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4217,"d. Education, Skills and Training Domain"
E06000027,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0562,"d. Education, Skills and Training Domain"
E06000023,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2015,"d. Education, Skills and Training Domain"
E06000007,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1024,"d. Education, Skills and Training Domain"
E06000022,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0522,"d. Education, Skills and Training Domain"
E07000120,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000113,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1176,g. Barriers to Housing and Services Domain
E07000114,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0119,g. Barriers to Housing and Services Domain
E07000116,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0294,g. Barriers to Housing and Services Domain
E07000096,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0532,g. Barriers to Housing and Services Domain
E07000094,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1,g. Barriers to Housing and Services Domain
E07000098,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0645,g. Barriers to Housing and Services Domain
E07000093,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1268,g. Barriers to Housing and Services Domain
E07000117,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000122,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,g. Barriers to Housing and Services Domain
E07000167,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0333,"d. Education, Skills and Training Domain"
E07000121,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0225,g. Barriers to Housing and Services Domain
E07000119,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0196,g. Barriers to Housing and Services Domain
E07000112,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0448,g. Barriers to Housing and Services Domain
E07000118,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0152,g. Barriers to Housing and Services Domain
E07000081,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0769,c. Employment Deprivation Domain
E07000045,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000049,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000047,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000043,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0345,c. Employment Deprivation Domain
E07000042,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000046,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0541,c. Employment Deprivation Domain
E07000044,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000062,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3019,c. Employment Deprivation Domain
E07000061,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.082,c. Employment Deprivation Domain
E07000067,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000063,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000051,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000050,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000053,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1316,c. Employment Deprivation Domain
E07000052,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E08000033,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1563,c. Employment Deprivation Domain
E08000034,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0927,c. Employment Deprivation Domain
E08000027,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1144,c. Employment Deprivation Domain
E07000038,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0476,c. Employment Deprivation Domain
E07000039,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0172,c. Employment Deprivation Domain
E07000145,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2459,c. Employment Deprivation Domain
E07000035,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0233,c. Employment Deprivation Domain
E07000037,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0339,c. Employment Deprivation Domain
E07000041,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.027,c. Employment Deprivation Domain
E08000026,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1282,c. Employment Deprivation Domain
E07000048,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E07000040,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
E08000023,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4216,c. Employment Deprivation Domain
E08000025,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3255,c. Employment Deprivation Domain
E07000036,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0685,c. Employment Deprivation Domain
E07000083,2015,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0,c. Employment Deprivation Domain
